agno, mes, dia, valor
1983,05,01,0.00000
1983,06,01,0.00000
1983,07,01,0.00000
1983,08,01,0.00000
1983,09,01,2.50000
1983,10,01,0.00000
1983,11,01,0.00000
1983,12,01,27.00000
1984,01,01,152.20000
1984,02,01,175.20000
1984,03,01,205.30000
1984,04,01,5.00000
1984,05,01,3.00000
1984,06,01,12.50000
1984,07,01,0.00000
1984,08,01,1.00000
1984,09,01,0.00000
1984,10,01,43.40000
1984,11,01,58.50000
1984,12,01,20.50000
1985,01,01,91.00000
1985,02,01,178.00000
1985,03,01,118.20000
1985,04,01,29.60000
1985,05,01,4.50000
1985,06,01,2.50000
1985,07,01,0.00000
1985,08,01,1.50000
1985,09,01,11.30000
1985,10,01,0.00000
1985,11,01,102.80000
1985,12,01,143.80000
1986,01,01,109.30000
1986,02,01,110.00000
1986,03,01,96.30000
1986,04,01,34.50000
1986,05,01,1.00000
1986,06,01,0.00000
1986,07,01,0.00000
1986,08,01,6.50000
1986,09,01,0.00000
1986,10,01,0.00000
1986,11,01,23.50000
1986,12,01,107.30000
1987,01,01,162.00000
1987,02,01,45.40000
1987,03,01,20.30000
1987,04,01,1.80000
1987,05,01,5.50000
1987,06,01,26.30000
1987,07,01,26.30000
1987,08,01,0.00000
1987,09,01,0.00000
1987,10,01,13.00000
1987,11,01,6.40000
1987,12,01,7.00000
1988,01,01,175.50000
1988,02,01,24.00000
1988,03,01,92.30000
1988,04,01,34.00000
1988,05,01,1.00000
1988,06,01,0.00000
1988,07,01,0.00000
1988,08,01,0.00000
1988,09,01,3.80000
1988,10,01,6.00000
1988,11,01,0.00000
1988,12,01,47.70000
1989,01,01,120.60000
1989,02,01,87.10000
1989,03,01,80.40000
1989,04,01,21.20000
1989,05,01,0.00000
1989,06,01,7.00000
1989,07,01,1.00000
1989,08,01,0.00000
1989,09,01,0.00000
1989,10,01,0.00000
1989,11,01,0.50000
1989,12,01,9.00000
1990,01,01,96.90000
1990,02,01,35.20000
1990,03,01,50.60000
1990,04,01,13.90000
1990,05,01,13.10000
1990,06,01,43.00000
1990,07,01,0.00000
1990,08,01,0.00000
1990,09,01,0.00000
1990,10,01,19.60000
1990,11,01,14.80000
1990,12,01,95.50000
1991,01,01,179.40000
1991,02,01,41.70000
1991,03,01,92.10000
1991,04,01,16.80000
1991,05,01,0.00000
1991,06,01,1.00000
1991,07,01,0.00000
1991,08,01,0.00000
1991,09,01,0.00000
1991,10,01,8.50000
1991,11,01,9.30000
1991,12,01,11.50000
1992,01,01,104.80000
1992,02,01,15.00000
1992,03,01,0.00000
1992,04,01,2.00000
1992,05,01,0.00000
1992,06,01,2.00000
1992,07,01,0.00000
1992,08,01,3.00000
1992,09,01,0.00000
1992,10,01,5.80000
1992,11,01,22.20000
1992,12,01,73.00000
1993,01,01,169.10000
1993,02,01,16.00000
1993,03,01,49.50000
1993,04,01,0.00000
1993,05,01,2.00000
1993,06,01,3.00000
1993,07,01,0.00000
1993,08,01,38.00000
1993,09,01,1.00000
1993,10,01,12.70000
1993,11,01,14.00000
1993,12,01,90.30000
1994,01,01,92.80000
1994,02,01,100.50000
1994,03,01,25.80000
1994,04,01,13.00000
1994,05,01,0.00000
1994,06,01,0.00000
1994,07,01,0.00000
1994,08,01,0.00000
1994,09,01,5.50000
1994,10,01,0.00000
1994,11,01,0.00000
1994,12,01,62.30000
1995,01,01,43.90000
1995,02,01,23.50000
1995,03,01,63.80000
1995,04,01,8.50000
1995,05,01,0.00000
1995,06,01,0.00000
1995,07,01,0.00000
1995,08,01,0.00000
1995,09,01,0.00000
1995,10,01,1.50000
1995,11,01,2.60000
1995,12,01,31.30000
1996,01,01,74.00000
1996,02,01,62.70000
1996,03,01,51.00000
1996,04,01,3.80000
1996,05,01,0.00000
1996,06,01,0.00000
1996,07,01,0.00000
1996,08,01,5.00000
1996,09,01,0.00000
1996,10,01,0.00000
1996,11,01,12.20000
1996,12,01,45.00000
1997,01,01,188.40000
1997,02,01,126.40000
1997,03,01,29.50000
1997,04,01,8.00000
1997,05,01,3.00000
1997,06,01,0.00000
1997,08,01,19.50000
1997,09,01,24.20000
1997,10,01,0.00000
1997,11,01,9.60000
1997,12,01,45.90000
1998,01,01,132.30000
1998,02,01,54.50000
1998,03,01,4.00000
1998,04,01,0.00000
1998,05,01,0.00000
1998,06,01,14.00000
1998,07,01,0.00000
1998,08,01,0.00000
1998,09,01,0.00000
1998,10,01,0.00000
1998,11,01,9.70000
1998,12,01,33.30000
1999,01,01,50.10000
1999,02,01,160.20000
1999,03,01,188.80000
1999,04,01,18.70000
1999,05,01,0.00000
1999,06,01,0.00000
1999,07,01,2.00000
1999,08,01,1.00000
1999,09,01,5.20000
1999,10,01,2.50000
1999,11,01,0.00000
1999,12,01,9.50000
2000,01,01,106.30000
2000,02,01,110.50000
2000,03,01,38.90000
2000,04,01,4.80000
2000,05,01,0.00000
2000,06,01,0.00000
2000,07,01,1.80000
2000,08,01,0.00000
2000,09,01,0.00000
2000,10,01,9.50000
2000,11,01,0.00000
2000,12,01,37.80000
2001,01,01,203.00000
2001,02,01,219.80000
2001,03,01,124.90000
2001,04,01,30.60000
2001,05,01,2.00000
2001,06,01,1.50000
2001,07,01,0.00000
2001,08,01,11.50000
2001,09,01,0.00000
2001,10,01,2.00000
2001,11,01,3.00000
2001,12,01,44.00000
2002,01,01,56.80000
2002,02,01,153.40000
2002,03,01,105.40000
2002,04,01,27.20000
2002,05,01,2.00000
2002,06,01,10.50000
2002,07,01,11.50000
2002,08,01,0.00000
2002,09,01,0.00000
2002,10,01,14.50000
2002,11,01,22.50000
2002,12,01,31.50000
2003,01,01,63.50000
2003,02,01,44.80000
2003,03,01,62.90000
2003,04,01,3.00000
2003,05,01,20.00000
2003,06,01,0.00000
2003,07,01,25.30000
2003,08,01,3.50000
2003,09,01,0.00000
2003,10,01,0.00000
2003,11,01,0.00000
2003,12,01,53.30000
2004,01,01,183.60000
2004,02,01,97.20000
2004,03,01,20.70000
2004,04,01,9.50000
2004,05,01,0.00000
2004,06,01,0.00000
2004,07,01,32.50000
2004,08,01,29.50000
2004,09,01,0.00000
2004,10,01,0.00000
2004,11,01,0.00000
2004,12,01,39.00000
2005,01,01,105.70000
2005,02,01,152.80000
2005,03,01,55.90000
2005,04,01,23.20000
2005,05,01,0.00000
2005,06,01,0.00000
2005,07,01,4.50000
2005,08,01,0.00000
2005,09,01,5.50000
2005,10,01,0.00000
2005,11,01,12.00000
2005,12,01,59.40000
2006,01,01,161.50000
2006,02,01,98.40000
2006,03,01,172.60000
2006,04,01,30.50000
2006,05,01,0.00000
2006,06,01,0.00000
2006,07,01,0.00000
2006,08,01,0.00000
2006,09,01,0.00000
2006,10,01,5.00000
2006,11,01,29.70000
2006,12,01,41.50000
2007,01,01,108.00000
2007,02,01,51.30000
2007,03,01,64.10000
2007,04,01,9.00000
2007,05,01,0.00000
2007,06,01,0.00000
2007,07,01,0.00000
2007,08,01,0.00000
2007,09,01,0.00000
2007,10,01,7.50000
2007,11,01,29.50000
2007,12,01,30.50000
2008,01,01,203.00000
2008,02,01,13.00000
2008,03,01,44.50000
2008,04,01,0.00000
2008,05,01,0.00000
2008,06,01,0.00000
2008,07,01,0.00000
2008,11,01,0.00000
2008,12,01,23.00000
2009,01,01,38.50000
2009,02,01,122.50000
2009,03,01,59.50000
2009,04,01,21.50000
2009,05,01,0.00000
2009,06,01,0.00000
2009,07,01,0.00000
2009,08,01,0.00000
2009,09,01,0.00000
2009,10,01,0.00000
2009,11,01,32.00000
2009,12,01,27.50000
2010,01,01,101.00000
2010,02,01,106.50000
2010,03,01,14.00000
2010,04,01,8.50000
2010,05,01,5.50000
2010,06,01,0.00000
2010,07,01,0.00000
2010,08,01,0.00000
2010,09,01,0.00000
2010,10,01,0.00000
2010,11,01,0.00000
2010,12,01,0.00000
2011,03,01,0.00000
2011,04,01,0.00000
2011,05,01,9.00000
2011,06,01,1.00000
2011,07,01,0.00000
2011,08,01,0.00000
2011,09,01,0.00000
2011,12,01,0.00000
2012,08,01,0.00000
2012,09,01,0.00000
2012,10,01,0.00000
2012,11,01,1.00000
2012,12,01,124.10000
2013,01,01,247.80000
2013,02,01,116.00000
2013,03,01,55.40000
2013,05,01,3.50000
2013,06,01,6.30000
2013,07,01,2.80000
2013,08,01,0.30000
2013,09,01,0.00000
2013,10,01,8.20000
2013,11,01,0.40000
2013,12,01,56.20000
2014,01,01,109.80000
2014,02,01,2.70000
2014,03,01,9.60000
2014,04,01,14.80000
2014,05,01,0.00000
2014,06,01,0.00000
2014,07,01,0.00000
2014,08,01,0.00000
2014,09,01,0.00000
2014,10,01,8.00000
2014,11,01,9.10000
2014,12,01,13.00000
2015,01,01,78.30000
2015,04,01,18.70000
2015,05,01,1.00000
2015,06,01,0.00000
2015,07,01,0.70000
2015,08,01,0.40000
2015,09,01,0.00000
2015,10,01,3.40000
2015,11,01,11.20000
2015,12,01,0.20000
2016,01,01,35.60000
2016,02,01,134.10000
2016,03,01,5.80000
2016,04,01,22.60000
2016,05,01,0.00000
2016,06,01,1.30000
2016,07,01,6.70000
2016,09,01,0.00000
2016,10,01,0.00000
2016,11,01,0.00000
2016,12,01,14.80000
2017,01,01,97.00000
2017,02,01,49.90000
2017,03,01,76.30000
2017,04,01,6.10000
2017,05,01,1.40000
2017,06,01,0.70000
2017,07,01,0.00000
2017,08,01,0.00000
2017,09,01,0.30000
2017,10,01,3.60000
2017,11,01,5.40000
